,Import_ChemicalEnergy,Convert_ChemicalEnergyToElectricalEnergy,Export_HeatEnergy,Protect_ElectricalEnergy,Import_BinarySignal,Actuate_ElectricalEnergy,Protect_ElectricalEnergy,Invert_ElectricalEnergy,Export_HeatEnergy,Protect_ElectricalEnergy,Branch_ElectricalEnergy,Convert_ElectricalEnergyToMechanicalEnergy,Export_HeatEnergy,Import_Material,Transport_Material,Export_Material,Convert_ElectricalEnergyToMechanicalEnergy,Export_HeatEnergy,Import_Material,Transport_Material,Export_Material,Convert_ElectricalEnergyToOpticalEnergy,Export_HeatEnergy,Export_OpticalEnergy
Import_ChemicalEnergy,,ChemicalEnergy,,,,,,,,,,,,,,,,,,,,,,
Convert_ChemicalEnergyToElectricalEnergy,,,HeatEnergy,ElectricalEnergy,,,,,,,,,,,,,,,,,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Protect_ElectricalEnergy,,,,,,ElectricalEnergy,,,,,,,,,,,,,,,,,,
Import_BinarySignal,,,,,,BinarySignal,,,,,,,,,,,,,,,,,,
Actuate_ElectricalEnergy,,,,,,,ElectricalEnergy,,,,,,,,,,,,,,,,,
Protect_ElectricalEnergy,,,,,,,,ElectricalEnergy,,,,,,,,,,,,,,,,
Invert_ElectricalEnergy,,,,,,,,,HeatEnergy,ElectricalEnergy,,,,,,,,,,,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Protect_ElectricalEnergy,,,,,,,,,,,ElectricalEnergy,,,,,,,,,,,,,
Branch_ElectricalEnergy,,,,,,,,,,,,ElectricalEnergy,,,,,ElectricalEnergy,,,,,ElectricalEnergy,,
Convert_ElectricalEnergyToMechanicalEnergy,,,,,,,,,,,,,HeatEnergy,,MechanicalEnergy,,,,,,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Import_Material,,,,,,,,,,,,,,,Material,,,,,,,,,
Transport_Material,,,,,,,,,,,,,,,,Material,,,,,,,,
Export_Material,,,,,,,,,,,,,,,,,,,,,,,,
Convert_ElectricalEnergyToMechanicalEnergy,,,,,,,,,,,,,,,,,,HeatEnergy,,MechanicalEnergy,,,,
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Import_Material,,,,,,,,,,,,,,,,,,,,Material,,,,
Transport_Material,,,,,,,,,,,,,,,,,,,,,Material,,,
Export_Material,,,,,,,,,,,,,,,,,,,,,,,,
Convert_ElectricalEnergyToOpticalEnergy,,,,,,,,,,,,,,,,,,,,,,,HeatEnergy,OpticalEnergy
Export_HeatEnergy,,,,,,,,,,,,,,,,,,,,,,,,
Export_OpticalEnergy,,,,,,,,,,,,,,,,,,,,,,,,